rank,country,life_exp,wellbeing,happy_years,footprint,inequality,hpi,gdp,population
110,Afghanistan,59.7,3.8,12.4,0.8,43,20.2,691,29726803
13,Albania,77.3,5.5,34.4,2.2,17,36.8,4247,2900489
30,Algeria,74.3,5.6,30.5,2.1,24,33.3,5584,37439427
19,Argentina,75.9,6.5,40.2,3.1,16,35.2,14357,42095224
73,Armenia,74.4,4.3,24.0,2.2,22,25.7,3566,2978339
105,Australia,82.1,7.2,53.1,9.3,8,21.2,67646,22728254
43,Austria,81.0,7.4,54.4,6.1,7,30.5,48324,8429991
8,Bangladesh,70.8,4.7,23.3,0.7,27,38.4,859,155257387
102,Belarus,70.9,5.7,34.0,5.1,13,21.7,6722,9464000
87,Belgium,80.4,6.9,49.5,7.4,9,23.7,44731,11128246
27,Belize,69.8,6.1,34.2,2.5,18,33.8,4674,336707
137,Benin,59.2,3.2,9.9,1.4,44,13.4,808,10049792
56,Bhutan,68.7,5.6,27.4,2.3,27,28.6,2452,743711
92,Bolivia,67.5,6.0,25.6,3.0,35,23.3,2645,10238762
76,Bosnia and Herzegovina,76.2,4.8,28.6,3.1,19,25.3,4495,3828419
126,Botswana,64.2,4.8,21.3,3.8,28,16.6,6936,2132822
23,Brazil,73.9,6.9,39.0,3.1,22,34.3,12157,202401584
109,Bulgaria,73.9,4.2,24.0,3.3,19,20.4,7333,7305888
119,Burkina Faso,58.0,4.0,12.6,1.2,43,17.9,673,16590813
131,Burundi,55.8,3.4,9.5,0.8,48,15.6,244,10124572
74,Cambodia,67.5,3.9,18.2,1.2,28,25.6,946,14832255
124,Cameroon,54.6,4.2,11.6,1.2,47,16.7,1222,21659488
85,Canada,81.7,7.4,53.9,8.2,9,23.9,52738,34751476
140,Chad,50.8,4.0,9.6,1.5,51,12.8,973,12715465
35,Chile,81.1,6.6,44.7,4.4,14,31.7,15253,17388437
72,China,75.4,5.1,30.6,3.4,17,25.7,6265,1350695000
3,Colombia,73.7,6.4,35.1,1.9,24,40.7,7885,46881018
93,Comoros,62.6,4.0,15.4,1.0,36,23.1,750,733661
1,Costa Rica,79.1,7.3,48.2,2.8,15,44.7,9733,4654148
135,Ivory Coast,50.8,3.8,10.3,1.3,45,14.4,1281,21102641
47,Croatia,77.0,6.0,39.6,3.9,12,30.2,13236,4267558
41,Cyprus,79.8,6.2,42.3,4.2,12,30.7,28868,1129303
64,Czech Republic,78.2,6.3,43.4,5.2,9,27.3,19641,10510785
32,Denmark,79.8,7.5,54.4,5.5,7,32.7,57636,5591572
127,Djibouti,61.3,4.4,15.1,2.2,42,16.4,1587,853069
45,Dominican Republic,73.1,4.8,23.7,1.5,30,30.3,5967,10155036
10,Ecuador,75.4,6.0,34.3,2.2,22,37.0,5702,15419493
86,Egypt,70.7,4.2,21.8,2.2,23,23.8,3226,85660902
17,El Salvador,72.5,5.9,32.2,2.1,22,35.6,3922,6072233
118,Estonia,76.2,5.4,35.0,6.9,12,17.9,17491,1322696
66,Ethiopia,62.8,4.6,17.8,1.0,36,26.7,470,92191211
37,Finland,80.4,7.4,54.6,5.9,6,31.3,47416,5413971
44,France,81.8,6.6,48.1,5.1,9,30.4,40850,65639975
120,Gabon,63.3,4.0,15.4,2.0,36,17.5,10642,1613489
40,Georgia,74.6,4.3,24.7,1.6,20,31.1,4143,3825000
49,Germany,80.6,6.7,48.2,5.3,8,29.8,44011,80425823
104,Ghana,61.0,5.1,18.8,2.0,38,21.4,1642,25544565
89,Greece,80.5,5.1,33.3,4.4,16,23.6,22243,11045011
26,Guatemala,71.4,5.9,29.6,1.9,27,34.2,3279,15368759
129,Guinea,57.7,3.7,11.8,1.4,42,15.9,487,11628767
57,Haiti,62.1,4.4,16.5,0.6,37,28.6,767,10288828
65,Honduras,72.8,4.6,22.1,1.7,31,27.2,2395,7736131
123,Hong Kong,83.6,5.5,40.1,8.8,10,16.8,36708,7154600
69,Hungary,74.9,4.7,28.7,2.9,15,26.4,12820,9920362
39,Iceland,82.2,7.6,58.0,6.4,5,31.1,44259,320716
50,India,67.3,4.6,20.4,1.2,31,29.2,1450,1263589639
16,Indonesia,68.5,5.4,28.4,1.6,21,35.7,3701,248037853
84,Iran,74.8,4.6,25.4,2.8,23,24.0,7711,76156975
67,Iraq,69.0,4.7,22.8,1.9,27,26.5,6649,32780975
48,Ireland,80.5,7.0,50.3,5.6,8,30.0,48977,4586897
54,Israel,81.9,7.1,52.5,6.2,8,28.8,32819,7910500
60,Italy,82.7,5.8,41.1,4.6,12,28.1,34844,59539717
11,Jamaica,75.3,5.6,31.9,1.9,21,36.9,5446,2707805
58,Japan,83.2,6.0,44.0,5.0,9,28.3,46679,127561489
